Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
Triveni Engineering & Industries Limited,NSEI:TRIVENI,"63,780,316","75,345,092",NA,NA,NA,NA,"3,000,000",NA,NA,"21,406,831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95,484","79,677,076",NA
China Lesso Group Holdings Limited,SEHK:2128,"2,148,292,000","954,126,400","12,056,835",NA,NA,NA,"1,037,000","3,003,561",NA,"339,265,323",NA,NA,NA,"27,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Figaro Coffee Group, Inc.",PSE:FCG,9,"1,289,353,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,358,832,995","820,268,295"
"Value Added Technology Co., Ltd.",KOSDAQ:A043150,"1,069,745","6,897,003","86,385",NA,NA,NA,NA,NA,NA,"2,601,671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,887,508",NA
Asia Aviation Public Company Limited,SET:AAV,"2,318,739,737","5,300,643,589","79,037,949",NA,NA,NA,NA,NA,NA,"1,074,894,394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,230,616,671"
PT Summarecon Agung Tbk,IDX:SMRA,"268,811,938","10,654,588,504","563,006,866",NA,NA,NA,NA,NA,NA,"1,445,273,121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,585,167,916",NA
Union Bank of the Philippines,PSE:UBP,"60,123,588","1,021,930,525","867,223","10,417,475",NA,NA,NA,NA,NA,"31,011,511",NA,NA,NA,NA,NA,"3,765,865",NA,NA,NA,NA,NA,NA,"409,428,542","1,492,926,033"
CPN Retail Growth Leasehold REIT,SET:CPNREIT,NA,"1,572,220,463","64,072,393",NA,NA,NA,NA,NA,"26,168,066","208,188,553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180,723,500",NA,"815,090,037"
Hong Kong Technology Venture Company Limited,SEHK:1137,"26,503,424","482,066,841","20,177,090",NA,NA,NA,NA,NA,NA,"95,893,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"379,975,516",NA
Minor International Public Company Limited,SET:MINT,"2,358,590,225","3,220,401,201","68,216,467",NA,NA,NA,NA,"1,327,113",NA,"804,956,099",NA,NA,NA,"3,878,772",NA,NA,NA,NA,NA,NA,NA,"90,985,551",NA,NA
CIMC Enric Holdings Limited,SEHK:3899,"5,588,334","651,673,043","23,078,912",NA,NA,NA,"360,000",NA,NA,"212,716,177",NA,NA,NA,"644,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,371,016,211"
Luk Fook Holdings (International) Limited,SEHK:590,"12,237,342","320,059,429","5,938,638",NA,NA,NA,NA,NA,NA,"174,882,879",NA,NA,NA,"1,520,000",NA,"8,000",NA,NA,NA,NA,NA,NA,"254,811,079",NA
ASMPT Limited,SEHK:522,"759,100","310,743,333","5,739,543",NA,NA,NA,"1,185","45,161",NA,"203,380,301",NA,"70,000",NA,"1,220,678","20,620,000","10,700",NA,NA,NA,NA,NA,NA,NA,"103,003,000"
360 One Wam Limited,NSEI:360ONE,"52,745,966","195,179,414","9,106,387",NA,NA,NA,NA,NA,NA,"104,954,789","320,000",NA,NA,"16,780,922",NA,"4,217,653",NA,NA,NA,NA,NA,"14,676","110,805,034",NA
"Converge Information and Communications Technology Solutions, Inc.",PSE:CNVRG,"223,106,346","2,246,049,441","23,590,247",NA,NA,NA,NA,NA,NA,"430,675,963",NA,"780,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,797,417,274",NA
PT BFI Finance Indonesia Tbk,IDX:BFIN,"408,175,980","6,120,980,402","146,288,476",NA,NA,NA,NA,NA,NA,"737,688,734",NA,NA,NA,NA,NA,NA,"822,101,300",NA,NA,NA,NA,NA,"7,688,125,938",NA
PT Ciputra Development Tbk,IDX:CTRA,"15,786,778","8,637,784,479","511,342,127",NA,NA,NA,NA,NA,NA,"2,176,922,913",NA,NA,NA,"11,457,492",NA,"20,000,000",NA,NA,NA,NA,NA,NA,"9,882,123,998",NA
PT Indocement Tunggal Prakarsa Tbk,IDX:INTP,NA,"1,553,592,536",NA,NA,NA,NA,NA,NA,NA,"238,752,215",NA,NA,NA,"369,900",NA,"2,951,900",NA,NA,NA,NA,NA,NA,NA,"1,877,480,863"
"Century Pacific Food, Inc.",PSE:CNPF,"2,693,181","1,219,444,583","8,304,191",NA,NA,100,NA,NA,NA,"489,738,224",NA,"352,000",NA,"56,565,700",NA,NA,NA,NA,NA,NA,NA,NA,"2,320,120,831",NA
Tech Mahindra Limited,NSEI:TECHM,"330,161","531,634,076","13,987,843",NA,"26,104",NA,NA,"12,138,521",NA,"394,517,458","216,100",NA,NA,"1,275,925","192,678","992,405",NA,NA,NA,NA,NA,"7,663,842","94,239,703","248,463,703"
KT Corporation,KOSE:A030200,"526,327","207,248,235","19,203,419",NA,NA,NA,"1,446,738","21,493,132",NA,"75,886,687",NA,NA,NA,"3,953,251",NA,"116,710",NA,NA,NA,NA,"10,095,345",NA,"1,525","20,345,700"
Pou Chen Corporation,TWSE:9904,"154,138,026","2,177,081,426","41,695,291",NA,NA,NA,NA,"11,628,324","73,000,000","544,750,033",NA,NA,NA,"2,037,275",NA,NA,NA,NA,NA,NA,NA,NA,"615,567,761",NA
Aurobindo Pharma Limited,NSEI:AUROPHARMA,"89,697,010","280,876,793","2,191,063",NA,NA,NA,NA,"896,158",NA,"243,005,498","149,600",NA,NA,"198,103",NA,"1,884,030",NA,NA,NA,NA,NA,"814,303","214,550,503",NA
Glenmark Life Sciences Limited,NSEI:GLS,"8,800","21,013,422",NA,NA,NA,NA,NA,NA,NA,"3,171,416",NA,NA,NA,NA,NA,"1,750,000",NA,NA,NA,NA,NA,NA,NA,"101,504,950"
"GOLFZON Co., Ltd.",KOSDAQ:A215000,"1,023,671","3,723,954","116,221","75,775",NA,NA,NA,NA,NA,"1,056,863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,381,501"
Chroma ATE Inc.,TWSE:2360,"61,420,952","362,076,906","14,584,848",NA,"13,059,000",NA,"116,000",NA,NA,"144,259,726",NA,NA,NA,"27,443",NA,NA,NA,NA,NA,NA,NA,NA,"212,000",NA
PT Bank Neo Commerce Tbk,IDX:BBYB,NA,"6,387,166,974","156,742,580",NA,NA,NA,NA,NA,NA,"415,972,501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,531,260,549",NA
Metropolitan Bank & Trust Company,PSE:MBT,"79,222,515","2,167,015,769","50,560,588","31,553,991",NA,NA,"510,680","9,688,012",NA,"394,188,573",NA,NA,NA,"570,710",NA,NA,NA,NA,NA,NA,NA,NA,"2,249,887,088",NA
Lakshmi Machine Works Limited,BSE:500252,"1,495,957","4,404,144","121,037",NA,NA,NA,NA,NA,"330,170","1,161,969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53,536","3,311,411","1,417,952"
Joint Stock Commercial Bank for Investment and Development of Vietnam,HOSE:BID,106,"5,700,435,794","8,538,392",NA,NA,NA,NA,NA,NA,"52,567,880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axis Bank Limited,BSE:532215,"549,539","2,701,650,983","59,491,146",NA,"133,093,892",NA,"126,415","138,335,286",NA,"1,545,976,557","1,621,725",NA,NA,"138,748",NA,"43,641,792",NA,NA,NA,NA,NA,"67,513,541","70,820,000","244,860,645"
Value Partners Group Limited,SEHK:806,"443,304,762","1,383,405,069","10,536,520",NA,NA,NA,NA,NA,NA,"550,844,096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Star Petroleum Refining Public Company Limited,SET:SPRC,"1,368,100","1,708,645,369","4,730,882",NA,NA,NA,NA,NA,NA,"415,437,520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,625,888,656"
MegaStudyEdu Co. Ltd,KOSDAQ:A215200,"3,599,472","7,314,459","72,207",NA,NA,NA,NA,"620,680",NA,"3,327,412",NA,NA,NA,"16,598",NA,NA,NA,NA,NA,NA,NA,NA,NA,"711,946"
Ekachai Medical Care Public Company Limited,SET:EKH,"316,982,540","356,845,850",NA,NA,NA,NA,NA,NA,"13,869,275","11,786,311",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36,361,465"
Sun Art Retail Group Limited,SEHK:6808,"68,334,202","1,963,703,917","26,188,470",NA,NA,NA,NA,NA,NA,"478,610,228",NA,NA,NA,"2,000,000",NA,NA,NA,"480,369,231",NA,NA,NA,NA,NA,"7,027,297,350"
ReNew Energy Global Plc,NasdaqGS:RNW,"8,159,268","50,367,986","3,417,483",NA,1,NA,"16,442","195,101,145",NA,"45,492,935",NA,NA,NA,"20,935,394","6,615","999,034",NA,NA,"58,170,916",NA,NA,NA,"33,464,289",NA
"Ray Co., Ltd.",KOSDAQ:A228670,"1,583,860","10,835,075",NA,NA,NA,NA,NA,"991,354",NA,"2,978,340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,142",NA,"2,857,966",NA
PT Matahari Putra Prima Tbk,IDX:MPPA,NA,"4,234,793,597",NA,NA,NA,NA,NA,NA,NA,"37,358,041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,148,862,825","7,582,983,662"
"Wilcon Depot, Inc.",PSE:WLCON,"27,536,600","1,391,869,600","29,430,918",NA,NA,NA,NA,NA,NA,"357,058,830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,680,317,916",NA
PT Bank Tabungan Negara (Persero) Tbk,IDX:BBTN,"20,134,691","5,593,643,074","100,358,917",NA,NA,NA,NA,NA,NA,"777,620,258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8,420,666,648",NA,NA
Apollo Tyres Limited,NSEI:APOLLOTYRE,"16,493,310","276,287,976","11,581,312",NA,NA,NA,NA,NA,"6,751,013","189,874,997",NA,NA,NA,"57,207",NA,"1,464,282",NA,NA,NA,NA,NA,"21,623,913","319,711,262","984,485"
Powertech Technology Inc.,TWSE:6239,"4,868,906","664,793,157","12,388,552",NA,NA,NA,NA,"18,736,300","34,077,000","297,859,040",NA,NA,NA,"603,207",NA,NA,NA,NA,NA,NA,NA,NA,"65,884,571","11,800,000"
Home First Finance Company India Limited,NSEI:HOMEFIRST,"804,338","45,082,943","2,893,429",NA,NA,NA,NA,NA,NA,"17,218,411","296,500",NA,NA,"934,312","1,110,205",NA,NA,"12,547,690",NA,NA,NA,NA,"30,059,498",NA
Borosil Renewables Limited,BSE:502219,"10,727,607","47,236,230","140,182",NA,NA,NA,NA,NA,NA,"4,462,389",NA,NA,NA,NA,NA,"2,781,867",NA,NA,NA,NA,NA,"2,831,874","69,742,084",NA
Ngern Tid Lor Public Company Limited,SET:TIDLOR,"6,031,304","1,323,382,459","36,736,312",NA,NA,NA,NA,NA,NA,"245,632,608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"637,204,651","842,861,891"
Index Living Mall Public Company Limited,SET:ILM,"204,494,220","97,195,780","9,930,395",NA,NA,NA,NA,NA,NA,"7,249,627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"203,310,000",NA
ISDN Holdings Limited,SGX:I07,"163,826,689","267,623,413","6,296,281",NA,NA,NA,NA,NA,NA,"4,065,144",NA,NA,NA,NA,NA,NA,NA,"38,280,107",NA,NA,NA,NA,NA,NA
"Eugene Technology Co.,Ltd.",KOSDAQ:A084370,"8,335,731","13,887,459","167,684",NA,NA,NA,NA,"1,113,909",NA,"4,670,698",NA,NA,NA,"8,216",NA,"55,057",NA,NA,NA,NA,NA,NA,NA,NA
Asia Commercial Joint Stock Bank,HOSE:ACB,"51,587,609","3,562,503,138","22,187,136",NA,NA,"48,105,373",NA,NA,NA,"260,682,265",NA,NA,NA,"139,400",NA,NA,NA,NA,NA,NA,NA,NA,"269,959,611",NA
SBI Cards and Payment Services Limited,NSEI:SBICARD,133,"297,084,729","9,709,198",NA,NA,NA,NA,"123,974",NA,"204,562,766",NA,NA,NA,"34,521",NA,NA,NA,NA,NA,NA,NA,"1,946",NA,"653,691,511"
Grab Holdings Limited,NasdaqGS:GRAB,"120,327,102","2,306,011,684","280,033,757",NA,"162,766",NA,"1,097,398","40,946,872","68,079","868,673,893",NA,NA,NA,"178,018,238","15,377,828","69,080,727",NA,"549,175,218",NA,NA,NA,"524,903","3,468","957,284,727"
Aditya Birla Sun Life AMC Limited,NSEI:ABSLAMC,"12,526","133,312,463","3,344,897",NA,NA,NA,NA,NA,NA,"109,092,570","270,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154,764,918"
MINISO Group Holding Limited,NYSE:MNSO,"215,075,928","93,516,788","8,908,815",NA,"75,149","9,550","43,472","6,540,993",NA,"45,950,582",NA,NA,NA,"14,311,020","99,600",NA,NA,NA,NA,NA,NA,NA,"14,783",NA
ITMAX System Berhad,KLSE:ITMAX,"110,402,200","350,406,200","2,723,900",NA,NA,NA,NA,"15,709,400",NA,"96,151,900",NA,NA,NA,NA,NA,"14,716,800",NA,NA,NA,NA,NA,"4,240,000","563,871,400",NA
"SM Prime Holdings, Inc.",PSE:SMPH,"3,667,518,747","10,023,042,543","26,340,973",NA,NA,NA,NA,"10,603,643",NA,"1,788,223,095",NA,NA,NA,"6,260,830",NA,NA,NA,NA,NA,NA,NA,NA,"750,178,345","14,415,260,365"
AllHome Corp.,PSE:HOME,"221,701","1,209,670,301","30,968,735",NA,NA,NA,NA,NA,NA,"163,617,893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,540,108,000",NA
Vincom Retail Joint Stock Company,HOSE:VRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280,580,208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCB X Public Company Limited,SET:SCB,"793,860,359","1,708,895,627","63,667,854",NA,NA,NA,NA,"343,868",NA,"1,130,993,026",NA,NA,NA,"2,912,033",NA,NA,NA,NA,NA,NA,NA,"79,053,100",NA,NA
CP ALL Public Company Limited,SET:CPALL,"14,346,038","5,538,380,054","159,808,242",NA,NA,NA,NA,"10,098,860",NA,"1,449,415,302",NA,NA,NA,"2,054,846",NA,"4,695,540",NA,NA,NA,NA,NA,"129,587,100","239,304,000","3,061,484,156"
East West Banking Corporation,PSE:EW,"29,841,842","461,374,678",NA,NA,NA,NA,NA,NA,NA,"17,187,042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,758,758,891",NA
PT Bank Central Asia Tbk,IDX:BBCA,"3,255,509,903","49,464,333,772","1,420,104,709",NA,"571,710,275",NA,"11,513,377","570,797,141",NA,"17,171,234,119",NA,NA,NA,"66,251,446",NA,"594,513,700",NA,NA,NA,NA,NA,"2,825,256,325","67,729,950,000",NA
Hi Sun Technology (China) Limited,SEHK:818,"1,007,576,636","1,737,262,199","5,690,930",NA,NA,NA,NA,NA,NA,"194,794,822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Adira Dinamika Multi Finance Tbk,IDX:ADMF,NA,"79,300,000",NA,NA,NA,NA,NA,NA,NA,"5,087,822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"920,700,000"
Route Mobile Limited,NSEI:ROUTE,"36,414,306","26,374,151","972,904",NA,NA,NA,NA,NA,NA,"11,731,582",NA,NA,NA,"4,923,145","1,008,224",NA,NA,NA,NA,NA,0,75,NA,NA
Ajanta Pharma Limited,NSEI:AJANTPHARM,"36,926,744","42,283,779","337,823",NA,NA,NA,NA,NA,NA,"27,095,992","251,550",NA,NA,"6,994",NA,NA,NA,NA,NA,NA,NA,"113,155","46,591,977",NA
"Robinsons Retail Holdings, Inc.",PSE:RRHI,"247,836,868","403,151,227","2,021,040",NA,NA,NA,NA,NA,NA,"118,013,609",NA,NA,NA,"10,000",NA,NA,NA,NA,NA,NA,NA,NA,"491,299,997","315,309,308"
Digital China Holdings Limited,SEHK:861,"403,022,123","546,944,113","8,777,936",NA,NA,NA,NA,NA,NA,"173,628,171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"534,099,900","189,541,250"
Saregama India Limited,BSE:532163,"2,109,926","80,338,670","9,412,488",NA,NA,NA,NA,NA,NA,"14,629,517",NA,NA,NA,"4,816,254","5,678,770","6,487,475",NA,NA,NA,NA,NA,"802,790","108,056,954","501,600"
Srinanaporn Marketing Public Company Limited,SET:SNNP,"532,815,160","427,184,840",NA,NA,NA,NA,NA,NA,NA,"25,620,573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIDV Securities Joint Stock Company,HOSE:BSI,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,783,456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changsha Broad Homes Industrial Group Co., Ltd.",SEHK:2163,"211,233,600","144,826,600",NA,NA,NA,NA,NA,NA,NA,"14,234,330",NA,NA,NA,"29,043,700",NA,NA,NA,"74,904,000",NA,NA,NA,NA,"55,261,800",NA
PT Bank Syariah Indonesia Tbk,IDX:BRIS,"32,810,300","4,542,849,328","70,686,694",NA,NA,NA,NA,NA,NA,"807,255,729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"41,553,600,509"
Asian Alliance International Public Company Limited,SET:AAI,"120,115,691","517,391,309","3,190,088",NA,NA,NA,NA,NA,"17,512,100","117,668,883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,487,493,000"
Farm Fresh Berhad,KLSE:FFB,"34,199,000","783,718,212","24,247,133",NA,NA,"61,500,000",NA,"180,105,296",NA,"292,993,200",NA,NA,NA,NA,"72,204,180",NA,NA,NA,NA,NA,NA,NA,"1,054,002,825",NA
Phu Tai Joint Stock Company,HOSE:PTB,"10,307,159","56,631,244",NA,NA,NA,NA,NA,NA,NA,"4,438,094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synnex (Thailand) Public Company Limited,SET:SYNEX,"7,915,299","216,640,031","7,209,880",NA,NA,NA,NA,NA,"4,061,600","22,882,768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"622,805,876"
Saksiam Leasing Public Company Limited,SET:SAK,"1,433,564,200","512,435,800",NA,NA,NA,NA,NA,NA,NA,"18,467,137",NA,NA,NA,NA,NA,NA,NA,"150,000,000",NA,NA,NA,NA,NA,NA
InNature Berhad,KLSE:INNATURE,"3,854,900","194,053,900","7,786,159",NA,NA,"10,849,900",NA,"15,318,500","1,500,000","57,846,300",NA,NA,NA,NA,"5,626,500",NA,NA,NA,NA,NA,NA,"4,496,700","503,475,988",NA
"Shakey's Pizza Asia Ventures, Inc.",PSE:PIZZA,"55,298,815","327,808,233","4,444,541",NA,NA,NA,NA,NA,NA,"20,423,496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,300,653,130",NA
Sappe Public Company Limited,SET:SAPPE,"221,524,688","86,764,392",NA,NA,NA,NA,NA,NA,NA,"9,183,462",NA,NA,NA,"255,631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KPIT Technologies Limited,NSEI:KPITTECH,"19,666,754","159,567,613","1,451,985",NA,"2,959,834",NA,"53,876",NA,NA,"55,109,580","260,000",NA,NA,"307,968",NA,"12,569,401",NA,NA,NA,NA,NA,"175,113","91,603,520",NA
Somany Ceramics Limited,BSE:531548,"6,101,099","14,960,630",NA,NA,NA,NA,NA,NA,NA,"10,477,346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"198,065","19,743,826",NA
Newgen Software Technologies Limited,NSEI:NEWGEN,"78,772,970","53,060,404",NA,NA,NA,NA,NA,NA,NA,"13,095,912",NA,NA,NA,NA,"1,684,806","7,245,644",NA,"7,705,278",NA,NA,NA,NA,100,NA
PT Harum Energy Tbk,IDX:HRUM,"2,000,000","2,515,372,500",NA,NA,NA,NA,NA,NA,NA,"144,616,993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,798,874,000",NA
Ha Do Group Joint Stock Company,HOSE:HDG,"18,272,143","287,484,698","26,237,005",NA,NA,NA,NA,NA,NA,"17,467,413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netbay Public Company Limited,SET:NETBAY,0,"138,200,000","4,306,973",NA,NA,NA,NA,NA,"10,149,900","14,200,482",NA,NA,NA,"1,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61,800,000"
KCG Corporation Public Company Limited,SET:KCG,"95,040,000","165,560,000",NA,NA,NA,NA,NA,NA,NA,"14,362,300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"284,400,000",NA
Ratchthani Leasing Public Company Limited,SET:THANI,"131,154,229","1,944,971,312","41,451,408",NA,NA,NA,NA,NA,NA,"280,394,803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154,821,837","3,432,080,821"
P.S.P. Specialties Public Company Limited,SET:PSP,"609,798,000","790,202,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Erawan Group Public Company Limited,SET:ERW,"235,048,312","2,545,747,566",59,NA,NA,NA,NA,NA,NA,"324,735,927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,750,763,855",NA
Amata VN Public Company Limited,SET:AMATAV,"59,898,084","170,964,136",NA,NA,NA,NA,NA,NA,NA,"38,439,340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"704,137,780"
PT Industri Jamu dan Farmasi Sido Muncul Tbk,IDX:SIDO,"4,450,018","6,717,267,540","152,036,946",NA,NA,NA,NA,NA,NA,"1,108,849,609",NA,"1,500,000",NA,"7,768,447",NA,NA,NA,"5,140,877,862",NA,NA,NA,NA,"18,137,404,580",NA
PT Cisarua Mountain Dairy Tbk,IDX:CMRY,"5,965,562,100","1,521,343,122","27,617,469",NA,NA,NA,NA,NA,NA,"181,078,894",NA,NA,NA,"7,924,759",NA,NA,NA,"447,777,778",NA,NA,NA,NA,NA,NA
Military Commercial Joint Stock Bank,HOSE:MBB,"5,260,601","5,208,823,451","26,793,297",NA,NA,"38,978,479",NA,NA,NA,"543,160,257",NA,NA,NA,"237,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samsonite International S.A.,SEHK:1910,"61,516,241","1,388,660,609","28,876,164",NA,NA,NA,"454,520","2,124,390",NA,"843,097,586",NA,NA,NA,"2,082,719",NA,"32,711,866",NA,NA,NA,NA,NA,NA,NA,NA
Mobile World Investment Corporation,HOSE:MWG,"240,547,460","1,189,581,410","21,256,239",NA,NA,NA,NA,NA,NA,"408,557,888",NA,"85,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32,269,518",NA
Innodisk Corporation,TPEX:5289,NA,NA,"79,863",NA,NA,NA,"100,977",NA,NA,"22,475,549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abko Co., Ltd.",KOSDAQ:A129890,"19,426,765","30,974,550",NA,NA,NA,NA,NA,NA,NA,"201,925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saigon Cargo Service Corporation,HOSE:SCS,"3,150,725","77,329,407",NA,NA,NA,NA,NA,NA,NA,"9,339,164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,899,050"
The Karur Vysya Bank Limited,NSEI:KARURVYSYA,"57,504,680","744,152,789",NA,NA,NA,NA,NA,NA,NA,"286,577,135","2,020,000",NA,NA,"30,581,869","8,304,862",NA,NA,NA,NA,NA,NA,"1,074,993",NA,NA
WIN Semiconductors Corp.,TPEX:3105,"41,186,028","336,915,327","5,230,084",NA,NA,NA,NA,"140,841","30,924,000","47,285,743",NA,NA,NA,"2,257","7,285,328","756,797",NA,NA,NA,NA,"8,000,699",NA,"17,838,330","20,000,000"
"SILICON2 Co., Ltd.",KOSDAQ:A257720,"30,856,554","29,529,230","2,305,870",NA,NA,NA,NA,NA,NA,"267,666",NA,NA,NA,NA,NA,"2,346,450",NA,NA,NA,NA,"3,450",NA,NA,NA
PT Erajaya Swasembada Tbk,IDX:ERAA,"47,716,400","7,040,788,300","297,589,585",NA,NA,NA,NA,NA,NA,"714,565,280",NA,NA,NA,"750,000",NA,NA,NA,NA,NA,NA,NA,NA,"8,694,980,200",NA
Vietnam Maritime Commercial Joint Stock Bank,HOSE:MSB,"21,106,986","1,687,709,896","1,656,676",NA,NA,NA,NA,NA,NA,"40,538,057",NA,NA,NA,"638,600",NA,NA,NA,NA,NA,NA,NA,NA,"291,183,118",NA
Ajisen (China) Holdings Limited,SEHK:538,"66,002,476","534,809,052",NA,NA,NA,NA,NA,NA,NA,"79,227,917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"490,727,292",NA
New World Development Company Limited,SEHK:17,"9,072,127","1,366,832,435","14,253,852",NA,NA,NA,NA,"1,883,054",NA,"415,486,519",NA,NA,NA,"329,902",NA,"51,673",NA,NA,NA,NA,NA,NA,"1,140,728,609",NA
PAX Global Technology Limited,SEHK:327,"15,960,000","689,850,000","6,443,626",NA,NA,NA,NA,NA,NA,"355,637,026",NA,"401,221",NA,"6,000",NA,"15,000",NA,NA,NA,NA,NA,NA,NA,"364,000,000"
PT Caturkarda Depo Bangunan Tbk,IDX:DEPO,"1,595,117,700","510,235,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,684,647,200",NA
