Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
PT Aneka Tambang Tbk,IDX:ANTM,"185,877,377","7,647,832,221","73,643,422",NA,NA,NA,NA,"416,931,563","47,670,600","1,516,118,095",NA,NA,NA,"21,645,056","111,940,800",NA,NA,NA,NA,NA,NA,"70,371,000","16,126,684,126",NA
Crystal International Group Limited,SEHK:2232,"2,306,413,900","546,408,100","1,822,000",NA,NA,NA,NA,NA,NA,"344,586,938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Prodia Widyahusada Tbk,IDX:PRDA,400,"262,499,600","910,000",NA,NA,NA,NA,NA,NA,"45,443,168",NA,NA,NA,"379,300",NA,NA,NA,NA,NA,NA,NA,NA,"675,000,000",NA
PT Avia Avian Tbk,IDX:AVIA,"3,532,125,700","11,544,057,100","188,789,774",NA,NA,NA,NA,NA,NA,"6,870,794,432",NA,NA,NA,"17,344,900",NA,NA,NA,NA,NA,NA,NA,NA,"46,877,372,800",NA
China Feihe Limited,SEHK:6186,"4,598,336,964","3,462,434,607","84,163,867",NA,NA,NA,NA,"11,741,854",NA,"649,765,851",NA,NA,NA,"2,918,889",NA,"679,500",NA,NA,NA,NA,NA,NA,"1,006,480,133",NA
"Alliance Global Group, Inc.",PSE:AGI,"68,688,212","1,817,169,601","6,093,556",NA,NA,NA,NA,NA,NA,"1,057,288,728",NA,NA,NA,"453,444",NA,NA,NA,NA,NA,NA,NA,NA,"7,053,375,066","35,269,800"
PT Surya Semesta Internusa Tbk,IDX:SSIA,"12,939,800","3,401,585,596","112,878,032",NA,NA,NA,NA,NA,NA,"556,500,504",NA,NA,NA,"4,392,800",NA,NA,NA,NA,NA,NA,NA,NA,"1,134,014,144",NA
PT Metrodata Electronics Tbk,IDX:MTDL,"2,676,757,945","5,200,957,750",NA,NA,NA,NA,NA,NA,NA,"1,028,667,170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,399,168,890",NA
Ho Chi Minh City Development Joint Stock Commercial Bank,HOSE:HDB,"163,119,599","2,729,431,011",NA,NA,NA,NA,NA,NA,NA,"263,941,093",NA,NA,NA,"4,067,179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Map Aktif Adiperkasa Tbk,IDX:MAPA,"115,504,500","6,630,535,700","210,803,904",NA,NA,NA,NA,NA,NA,"2,606,208,051",NA,NA,NA,"9,440,500",NA,NA,NA,NA,NA,NA,NA,NA,"21,757,959,800",NA
