ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
SET:GGC,Global Green Chemicals Public Company Limited,2.7180159496623633,7.688889017751938,5.354391777906404
HOSE:HSG,Hoa Sen Group,2.7522262914518447,7.649842189796426,5.351750962187814
HOSE:PTB,Phu Tai Joint Stock Company,2.6607127888894,7.646226844517171,5.299808757031475
NSEI:SJS,S.J.S. Enterprises Limited,2.6347332864482618,7.649875583425498,5.287615724875246
SEHK:3888,Kingsoft Corporation Limited,2.650051544459913,7.634348301608682,5.287501593803371
KOSDAQ:A215000,"GOLFZON Co., Ltd.",2.5956344956901267,7.648758049872843,5.265656827912035
SET:SIS,SiS Distribution (Thailand) Public Company Limited,2.670184723303872,7.570892474395315,5.263846583356232
TWSE:6412,"Chicony Power Technology Co., Ltd.",2.47976265463688,7.722302111897969,5.2425450355170575
NSEI:METROPOLIS,Metropolis Healthcare Limited,2.551450440653515,7.648770495868044,5.24153826839019
IDX:MTDL,PT Metrodata Electronics Tbk,3.3135931844882283,6.860786290301614,5.227428326587446
SEHK:698,Tongda Group Holdings Limited,2.4995800404835227,7.64877008052081,5.213215792060972
NSEI:QUESS,Quess Corp Limited,2.461645252461259,7.650500693990266,5.193447607069737
HOSE:MWG,Mobile World Investment Corporation,2.461915062723251,7.642544342782234,5.189250605888494
SET:PM,Premier Marketing Public Company Limited,2.266102451492231,7.7958722254245245,5.166053115974192
IDX:MCAS,PT M Cash Integrasi Tbk,2.435874432602266,7.625462755185342,5.165705034483851
IDX:ASSA,PT Adi Sarana Armada Tbk,2.398517190121,7.654275594620516,5.161039623874684
BSE:500252,Lakshmi Machine Works Limited,2.399135654531378,7.648856611194283,5.158418446921155
HOSE:VIB,Vietnam International Commercial Joint Stock Bank,2.843723756983171,7.17744431207862,5.143771912690158
BSE:531548,Somany Ceramics Limited,2.3629256630483377,7.64877008052081,5.138599838338274
SET:TWPC,Thai Wah Public Company Limited,2.324624685332795,7.64877008052081,5.1176867579496665
SET:FSMART,Forth Smart Service Public Company Limited,2.269743386003033,7.679055816236281,5.1042571008038635
NYSE:SE,Sea Limited,2.2786313937486824,7.64877008052081,5.092573524251591
KOSDAQ:A080160,Modetour Network Inc.,2.2394302798126047,7.648007950076775,5.070752813863519
NSEI:AUROPHARMA,Aurobindo Pharma Limited,2.236476128305264,7.648941699689865,5.06964963504794
BSE:500338,Prism Johnson Limited,2.2188332484179605,7.64877008052081,5.059922571326086
SGX:558,UMS Holdings Limited,2.226329814111689,7.640117301609112,5.05929125637237
SEHK:1836,Stella International Holdings Limited,2.1799456138356996,7.671482940129522,5.051090828914659
TWSE:2360,Chroma ATE Inc.,2.185654803762441,7.662326688262933,5.049208665905978
NSEI:360ONE,360 One Wam Limited,2.22761828173252,7.604760176182749,5.040689105150264
SEHK:384,China Gas Holdings Limited,2.1135548134684043,7.656955882231335,5.006908101065046
IDX:MDKA,PT Merdeka Copper Gold Tbk,2.0804591373853962,7.650906522848851,4.985534148692742
HOSE:FPT,FPT Corporation,2.0715941790943955,7.649561541978797,4.979959322900466
PSE:SMPH,"SM Prime Holdings, Inc.",2.374430008601654,7.33978472779193,4.9761694099729485
SEHK:1830,Perfect Medical Health Management Limited,2.030242003691221,7.654221512949595,4.959924664082395
SEHK:1448,Fu Shou Yuan International Group Limited,1.9759838485873362,7.64877008052081,4.92732206544078
IDX:CSAP,PT Catur Sentosa Adiprana Tbk,1.66476966634406,7.954606380137115,4.924385636701711
KOSDAQ:A228670,"Ray Co., Ltd.",1.9460466238699223,7.648439247796921,4.910795116098177
BSE:509820,Huhtamaki India Limited,1.9107549267744048,7.654969375927752,4.895090738828015
BSE:502219,Borosil Renewables Limited,1.8944979705141543,7.648726447428712,4.882805363185646
TPEX:3105,WIN Semiconductors Corp.,1.9187067396991844,7.619042646479298,4.879815889123936
HOSE:AGG,An Gia Real Estate Investment and Development Corporation,1.8466781659232345,7.64877008052081,4.856718642302559
TWSE:9938,Taiwan Paiho Limited,1.840638301977826,7.6492820536721915,4.853700306180344
BSE:530019,Jubilant Pharmova Limited,1.8156218342546468,7.648229263811606,4.839465983402226
KLSE:ITMAX,ITMAX System Berhad,2.0962176170305415,7.337716249539187,4.823130591863709
NSEI:TIMETECHNO,Time Technoplast Limited,1.7733195491348956,7.638938600965556,4.811295228172232
TWSE:4927,"Apex International Co., Ltd.",1.7606916260369612,7.64877008052081,4.809768315490142
SEHK:354,Chinasoft International Limited,1.7260749001017457,7.657405841733393,4.79558220233519
KOSDAQ:A039840,DIO Corporation,1.7227237362364487,7.6485940771309675,4.78894100631415
SET:AMATAV,Amata VN Public Company Limited,1.7076439881073746,7.651302256462202,4.782185888606088
KOSDAQ:A043150,"Value Added Technology Co., Ltd.",1.7013006134575153,7.648769215214076,4.777339192508251
SET:AAI,Asian Alliance International Public Company Limited,1.610316017199154,7.73653713309972,4.7755828234178175
KOSE:A013890,"Zinus, Inc",1.6979288937532024,7.648809535623559,4.775520183558225
SGX:V03,Venture Corporation Limited,1.6700437212932193,7.64857827086128,4.7601680607942205
HOSE:KDH,Khang Dien House Trading and Investment Joint Stock Company,1.6537141176222008,7.664035077771085,4.759691496750197
IDX:AVIA,PT Avia Avian Tbk,1.5884451832924398,7.727123172697028,4.758500715927174
NSEI:KPITTECH,KPIT Technologies Limited,1.658008548235909,7.64381220174738,4.750994255081882
SEHK:538,Ajisen (China) Holdings Limited,1.6483367464229917,7.64877008052081,4.748420361219363
SGX:QC7,Q & M Dental Group (Singapore) Limited,1.603645732053034,7.655144751970213,4.727498891129324
SET:AEONTS,AEON Thana Sinsap (Thailand) Public Company Limited,1.6039111103482178,7.65309661419445,4.726525469703693
HOSE:HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,1.593544170384148,7.650964491189191,4.719700737692903
HOSE:HDG,Ha Do Group Joint Stock Company,1.601313885501039,7.638104742361924,4.716921480072997
SET:ERW,The Erawan Group Public Company Limited,1.5566251130181215,7.642668802734246,4.69501260515678
NSEI:EQUITASBNK,Equitas Small Finance Bank Limited,1.3797408402966143,7.812547904843046,4.6911876454586885
NSEI:APLLTD,Alembic Pharmaceuticals Limited,1.525819371617842,7.649595943690214,4.6819744238767065
NSEI:KARURVYSYA,The Karur Vysya Bank Limited,1.5851300445663188,7.58415188965504,4.6786254782525845
SET:BANPU,Banpu Public Company Limited,1.3507008011725326,7.813845491421063,4.676039725617532
SET:CPN,Central Pattana Public Company Limited,1.4976330138027067,7.64877008052081,4.66613318571804
TWSE:9904,Pou Chen Corporation,1.489693373938725,7.6491297221902546,4.66199435895583
PSE:SEVN,Philippine Seven Corporation,1.541347484940741,7.572899227434313,4.648575174387638
KLSE:CAPITALA,Capital A Berhad,1.4884603605695088,7.625262580894041,4.6482891852607064
BSE:524164,IOL Chemicals and Pharmaceuticals Limited,1.4503412925838226,7.64877008052081,4.6403109841306165
BSE:512179,Sunteck Realty Limited,1.4273555560717144,7.648817190703805,4.627786047039251
NSEI:GOKEX,Gokaldas Exports Limited,1.4380515661200362,7.625303215698303,4.620787188327114
IDX:AKRA,PT AKR Corporindo Tbk,1.1720896825418365,7.8702180821122285,4.609295106710663
PSE:CIC,Concepcion Industrial Corporation,1.3833844913005153,7.64877008052081,4.603751265519739
PSE:PIZZA,"Shakey's Pizza Asia Ventures, Inc.",1.3722022855553286,7.64877008052081,4.5976455632212785
HOSE:SCS,Saigon Cargo Service Corporation,1.3493539845518987,7.652204715141585,4.58704532296858
HOSE:STB,Saigon Thuong Tin Commercial Joint Stock Bank,1.336152563111321,7.64877008052081,4.5779617120920015
PSE:CNVRG,"Converge Information and Communications Technology Solutions, Inc.",1.332287744467243,7.648770945827545,4.575851918254314
NSEI:GLENMARK,Glenmark Pharmaceuticals Limited,1.3282345151543051,7.649347946780041,4.573953829811481
SEHK:1368,Xtep International Holdings Limited,1.2847258410485458,7.671256518200602,4.56215975271996
SEHK:1910,Samsonite International S.A.,1.2998307406051814,7.655602395396077,4.5618598661212495
SEHK:1137,Hong Kong Technology Venture Company Limited,1.303398014249567,7.64877008052081,4.560077089967579
NSEI:ESCORTS,Escorts Kubota Limited,1.2954278012460454,7.648597019173865,4.555630703444953
NSEI:INDOSTAR,IndoStar Capital Finance Limited,1.2790148791157412,7.663393046133119,4.554747847165323
HOSE:FTS,FPT Securities Joint Stock Company,1.2945298901569329,7.647566425873204,4.554577702458068
